Type,m2_size,floor,maxfloor,metro,distance,district,applicant,price,string
Квартира-студия,24,1,18,Приморская ,31,nan,Агентство,25000,nan
1-к. квартира,43,4,25,Дунайская ,11–15,nan,Агентство,25000,nan
Квартира-студия,26.5,12,20,Приморская ,31,nan,Агентство,24999,nan
2-к. квартира,89,2,4,Невский проспект ,5,nan,Агентство,80000,nan
1-к. квартира,40,4,5,Проспект Ветеранов ,11–15,nan,Агентство,20000,nan
1-к. квартира,42,7,10,Звёздная ,21–30,nan,Агентство,24000,nan
Квартира-студия,24.7,5,10,Гражданский проспект ,21–30,nan,Агентство,22000,nan
1-к. квартира,35,12,15,Фрунзенская ,16–20,nan,Агентство,35000,nan
Квартира-студия,26,7,20,Парнас ,21–30,nan,Агентство,23000,nan
1-к. квартира,32,8,9,Комендантский проспект ,21–30,nan,Агентство,22000,nan
1-к. квартира,46,20,25,Международная ,5,nan,Агентство,30000,nan
2-к. квартира,70,4,7,Горьковская ,6–10,nan,Агентство,38000,nan
1-к. квартира,33.8,4,9,Ладожская ,31,nan,Агентство,20000,nan
1-к. квартира,40,7,12,Проспект Большевиков ,6–10,nan,Агентство,35000,nan
1-к. квартира,39,4,25,Парнас ,21–30,nan,Агентство,27000,nan
Квартира-студия,29,26,28,Парнас ,11–15,nan,Агентство,23000,nan
Квартира-студия,48,2,3,Звенигородская ,6–10,nan,Агентство,35000,nan
Апартаменты-студия,30,6,8,Обводный канал ,11–15,nan,Агентство,45000,nan
Квартира-студия,26,13,25,Проспект Просвещения ,21–30,nan,Агентство,23000,nan
Квартира-студия,26,1,22,Комендантский проспект ,31,nan,Агентство,17000,nan
Квартира-студия,28,7,22,Комендантский проспект ,31,nan,Агентство,20900,nan
Квартира-студия,26,27,29,Проспект Просвещения ,21–30,nan,Агентство,20000,nan
Квартира-студия,25,16,16,nan,nan,пос. Новогорелово,Агентство,20000,nan
2-к. квартира,60,16,23,Обухово ,31,nan,Агентство,28000,nan
Квартира-студия,24,15,22,Парнас ,11–15,nan,Агентство,20000,nan
1-к. квартира,32,11,12,Проспект Просвещения ,11–15,nan,Агентство,22000,nan
2-к. квартира,82,4,5,Новочеркасская ,6–10,nan,Агентство,48000,nan
Квартира-студия,25,19,25,Беговая ,21–30,nan,Агентство,23000,nan
1-к. квартира,35,6,9,nan,nan,Сестрорецк,Агентство,20000,nan
1-к. квартира,39.5,16,24,Звёздная ,16–20,nan,Агентство,35000,nan
1-к. квартира,32,4,9,Удельная ,11–15,nan,Агентство,23000,nan
1-к. квартира,34,9,25,Беговая ,21–30,nan,Агентство,32000,nan
1-к. квартира,35,4,10,Московская ,16–20,nan,Агентство,22000,nan
1-к. квартира,34.8,12,15,Звёздная ,31,nan,Агентство,22000,nan
Апартаменты-студия,25,9,15,Приморская ,31,nan,Агентство,27000,nan
2-к. квартира,51,9,36,Обухово ,21–30,nan,Агентство,30000,nan
1-к. квартира,30,7,12,Площадь Мужества ,21–30,nan,Агентство,17000,nan
1-к. квартира,45.9,5,5,nan,nan,Пушкин,Агентство,28000,nan
1-к. квартира,32,3,9,Гражданский проспект ,21–30,nan,Агентство,20000,nan
1-к. квартира,35,8,10,Комендантский проспект ,6–10,nan,Агентство,40000,nan
Квартира-студия,25,12,16,Елизаровская ,31,nan,Агентство,23000,nan
Квартира-студия,28,14,21,Комендантский проспект ,31,nan,Агентство,28000,nan
Квартира-студия,24,6,26,Гражданский проспект ,31,nan,Агентство,25000,nan
Квартира-студия,18,2,3,Чернышевская ,6–10,nan,Агентство,35000,nan
Квартира-студия,27.2,6,6,Приморская ,31,nan,Агентство,35000,nan
2-к. квартира,43,4,5,Ладожская ,31,nan,Агентство,22000,nan
2-к. квартира,39,5,5,Сенная площадь ,6–10,nan,Агентство,50000,nan
1-к. квартира,33,11,13,Академическая ,31,nan,Агентство,23000,nan
1-к. квартира,38,2,8,nan,nan,Красное Село,Агентство,15000,nan
1-к. квартира,21,4,9,Проспект Ветеранов ,11–15,nan,Агентство,18000,nan
1-к. квартира,41.5,3,20,nan,nan,р-н Красносельский,Агентство,33000,nan
1-к. квартира,26,1,5,Площадь Ленина ,16–20,nan,Агентство,35000,nan
1-к. квартира,35,6,10,Василеостровская ,21–30,nan,Агентство,40000,nan
1-к. квартира,38,9,10,Площадь Мужества ,11–15,nan,Агентство,26000,nan
1-к. квартира,42,15,24,Купчино ,11–15,nan,Агентство,28000,nan
1-к. квартира,30,8,25,nan,nan,р-н Красносельский,Агентство,20000,nan
Квартира-студия,26,5,16,Ломоносовская ,21–30,nan,Агентство,21000,nan
1-к. квартира,32,1,12,Проспект Ветеранов ,31,nan,Агентство,16000,nan
Апартаменты-студия,28,9,16,Проспект Просвещения ,6–10,nan,Агентство,30000,nan
2-к. квартира,55,3,5,Парк Победы ,21–30,nan,Агентство,33000,nan
1-к. квартира,36.1,2,12,Старая деревня ,21–30,nan,Агентство,35000,nan
1-к. квартира,38,17,25,Проспект Ветеранов ,31,nan,Агентство,25000,nan
1-к. квартира,34,9,9,Озерки ,6–10,nan,Агентство,25000,nan
1-к. квартира,34.4,3,12,Комендантский проспект ,21–30,nan,Агентство,21000,nan
1-к. квартира,46,2,9,Площадь А Невского II ,11–15,nan,Агентство,40000,nan
2-к. квартира,53.8,12,12,nan,nan,пос. Шушары,Агентство,25000,nan
1-к. квартира,24,6,12,Елизаровская ,31,nan,Агентство,32000,nan
1-к. квартира,44.3,9,9,Петроградская ,11–15,nan,Агентство,40000,nan
2-к. квартира,52,2,18,Девяткино ,21–30,nan,Агентство,23000,nan
1-к. квартира,37,2,8,nan,nan,Зеленогорск,Агентство,30000,nan
1-к. квартира,46,15,17,Беговая ,11–15,nan,Агентство,38000,nan
Квартира-студия,17,2,5,Чкаловская ,6–10,nan,Агентство,22000,nan
1-к. квартира,45,9,24,Чёрная речка ,11–15,nan,Агентство,35000,nan
Квартира-студия,28,10,23,Купчино ,31,nan,Агентство,20000,nan
1-к. квартира,31.4,21,26,Беговая ,21–30,nan,Агентство,33000,nan
1-к. квартира,36,10,18,Улица Дыбенко ,21–30,nan,Агентство,20000,nan
1-к. апартаменты,39,3,8,Старая деревня ,11–15,nan,Агентство,41000,nan
1-к. квартира,31,7,24,nan,nan,р-н Приморский,Агентство,23000,nan
